Rep #,Drag PBS,Drag BPW,Boot PBS,Boot BPW,Soil Grabs
1,Positive,Positive,Positive,Positive,Negative
2,Positive,Positive,Positive,Positive,Negative
3,Positive,Negative,Positive,Positive,Negative
4,Positive,Positive,Positive,Positive,Negative
5,Positive,Positive,Positive,Positive,Negative
6,Positive,Positive,Positive,Positive,Negative
7,Positive,Negative,Positive,Positive,Negative
8,Positive,Positive,Positive,Positive,Negative
9,Positive,Positive,Positive,Positive,Negative
10,Positive,Positive,Positive,Positive,Negative
11,Positive,Positive,Positive,Positive,Negative
12,Positive,Positive,Positive,Positive,Negative
13,Positive,Positive,Positive,Positive,Negative
14,Positive,Positive,Positive,Positive,Negative
15,Positive,Positive,Positive,Positive,Positive
16,Positive,Positive,Negative,Positive,Negative
17,Positive,Positive,Positive,Positive,Negative
18,Negative,Positive,Negative,Positive,Positive
19,Positive,Positive,Positive,Positive,Negative
20,Positive,Positive,Positive,Positive,Positive
21,Positive,Positive,Positive,Positive,Positive
22,Positive,Positive,Positive,Positive,Positive
23,Positive,Positive,Positive,Positive,Positive
24,Positive,Positive,Positive,Positive,Negative
25,Positive,Positive,Positive,Positive,Positive
26,Positive,Positive,Positive,Positive,Positive
27,Positive,Positive,Negative,Positive,Negative
28,Positive,Negative,Negative,Negative,Positive
29,Positive,Positive,Positive,Negative,Positive
30,Positive,Positive,Positive,Positive,Positive
31,Positive,Positive,Positive,Positive,Positive
32,Positive,Positive,Positive,Positive,Negative
33,Positive,Positive,Positive,Positive,Negative
34,Positive,Positive,Positive,Positive,Positive
35,Positive,Positive,Positive,Positive,Positive
36,Positive,Negative,Positive,Positive,Negative
37,Negative,Negative,Negative,Negative,Positive
38,Negative,Positive,Negative,Negative,Negative
39,Positive,Positive,Positive,Positive,Negative
40,Positive,Positive,Positive,Positive,Negative
41,Positive,Positive,Positive,Positive,Positive
42,Positive,Negative,Positive,Positive,Negative
43,Positive,Positive,Positive,Positive,Negative
44,Positive,Positive,Positive,Positive,Positive
45,Positive,Positive,Positive,Positive,Positive
46,Positive,Positive,Positive,Positive,Positive
47,Positive,Positive,Positive,Positive,Positive
48,Positive,Positive,Positive,Positive,Positive
Total Positive,45,42,42,44,21
Total Negative,3,6,6,4,27
